Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,shelf-700-w1000-310107,title,en,,,Mellanhylla 1000,"Shelf 700, W1000"
Product,shelf-700-w1000-310107,body_html,en,,,Mellanbotten i rostfritt stål som passar arbetsbord med 1000 mm bredd – skapar strukturerat förvaringsutrymme under bordet. Enkel eftermontering för mer kapacitet och ordning under befintliga arbetsbord. För kök som vill optimera sin befintliga utrustning.,Stainless steel intermediate shelf suitable for workbenches 1000 mm wide – creates structured under-shelf storage space. Easy retrofitting for more capacity and organisation under existing workbenches. For kitchens looking to optimise their existing equipment.
Product,shelf-1200-310127,title,en,,,Mellanhylla 1200,Shelf 1200
Product,shelf-1200-310127,body_html,en,,,Mellanhylla i rostfritt stål som passar arbetsbord med en bredd på 1200 mm. Skapar extra förvaringsutrymme under arbetsytan utan att försvåra monteringen. För kök som i efterhand vill skapa mer ordning och kapacitet under sitt arbetsbord.,Stainless steel intermediate shelf suitable for workbenches 1200 mm wide. Creates additional storage space under the worktop without complicating the installation. For kitchens wishing to create more order and capacity under their workbench at a later date.
Product,shelf-1400-310147,title,en,,,Mellanhylla 1400,Shelf 1400
Product,shelf-1400-310147,body_html,en,,,Mellanbotten i rostfritt stål som passar arbetsbord med en bredd på 1400 mm – skapar strukturerat förvaringsutrymme under bordet. Enkel eftermontering för mer ordning under arbetsytan. För kök som vill optimera befintliga arbetsbord i efterhand med mellanbotten.,Stainless steel shelf suitable for workbenches 1400 mm wide – creates structured under-shelf storage space. Easy retrofitting for greater organisation beneath the worktop. For kitchens wishing to retrofit existing workbenches with a shelf.
Product,shelf-1600-310167,title,en,,,Mellanhylla 1600,Shelf 1600
Product,shelf-700-w1800-310187,title,en,,,Mellanhylla 1800,"Shelf 700, W1800"
Product,shelf-700-w1800-310187,body_html,en,,,Mellanhylla i rostfritt stål som passar arbetsbord med en bredd på 1800 mm – skapar strukturerat förvaringsutrymme under bordet. Enkel eftermontering för mer ordning och kapacitet under arbetsytan. För kök som vill optimera sitt arbetsbord i efterhand.,Stainless steel intermediate shelf suitable for workbenches 1800 mm wide – creates structured under-shelf storage space. Easy retrofitting for greater organisation and capacity beneath the worktop. For kitchens wishing to retrofit their workbenches.
Product,work-table-700-w1000-311107,title,en,,,"Arbetsbord 700, B1000","Work table 700, W1000"
Product,work-table-700-w1000-311107,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1000 mm bred, byggsats med skruvsystem. Förberett för eftermontering av Mellanhylla, ljuddämpad underplatta. Upp till 300 kg bärförmåga. Flexibel uppbyggnad för kök som är under uppbyggnad eller omstruktureras regelbundet.","Stainless steel workbench, Series 700, 1000 mm wide, kit with screw-together system. Prepared for retrofitting an Intermediate shelf, sound-insulated base plate. Up to 300 kg load capacity. Flexible configuration for kitchens that are under construction or undergo regular restructuring."
Product,work-table-700-w1200-311127,title,en,,,"Arbetsbord 700, B1200","Work table 700, W1200"
Product,work-table-700-w1200-311127,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1200 mm bredt, byggsats med skruvsystem. Förberett för eftermontering av mellanbotten, ljuddämpad underplatta. Upp till 275 kg bärförmåga. Flexibelt format för kök som byggs upp modulärt och utökas stegvis.","Stainless steel workbench Series 700, 1200 mm wide, kit with screw-together system. Prepared for retrofitting with intermediate shelves, sound-insulated base plate. Up to 275 kg load capacity. Flexible format for kitchens with a modular design that can be expanded step by step."
Product,work-table-700-w1400-311147,title,en,,,"Arbetsbord 700, B1400","Work table 700, W1400"
Product,work-table-700-w1600-311167,title,en,,,"Arbetsbord 700, B1600","Work table 700, W1600"
Product,work-table-700-w1800-311187,title,en,,,"Arbetsbord 700, B1800","Work table 700, W1800"
Product,work-table-700-w1800-311187,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1800 mm bred, byggsats med skruvsystem. Förberett för eftermontering av mellanbotten, ljuddämpad underplatta. Upp till 213 kg bärförmåga. Flexibel uppbyggnad för stora kök som planerar modulärt och utökas stegvis.","Stainless steel worktop, Series 700, 1800 mm wide, kit with screw-fit system. Prepared for retrofitting with intermediate shelves, sound-insulated base plate. Up to 213 kg worktop load capacity. Flexible configuration for large kitchens planning a modular layout and expanding in stages."
Product,work-table-700-w1000-sb-312107,title,en,,,"Arbetsbord 700, B1000, MA","Work table 700, W1000, SB"
Product,work-table-700-w1000-sb-312107,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1000 mm bredt, byggsats med skruvsystem, 100 mm uppkant. Ljuddämpad underplatta, förberedd för mellanbotten. Upp till 300 kg bärförmåga. För kök som byggs modulärt med 1000 mm bredd och behöver högt stänkskydd.","Stainless steel worktop, Series 700, 1000 mm wide, kit with screw-fit system, 100 mm upstand. Sound-insulated base panel, prepared for intermediate shelf. Up to 300 kg load capacity. For kitchens with a modular layout based on 1000 mm widths and requiring high splash protection."
Product,work-table-700-w1200-sb-312127,title,en,,,"Arbetsbord 700, B1200 MA","Work table 700, W1200, SB"
Product,work-table-700-w1200-sb-312127,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1200 mm bredt, byggsats med skruvsystem, 100 mm uppkant. Ljuddämpad underplatta, förberedd för mellanbotten. Upp till 275 kg bärförmåga. För kök med höga krav på stänkskydd och modulär uppbyggnad.","Stainless steel workbench Series 700, 1200 mm wide, kit with screw-together system, 100 mm upstand. Sound-insulated base panel, prepared for intermediate shelf. Up to 275 kg load capacity. For kitchens with increased requirements for splash protection and modular design."
Product,work-table-700-w1400-sb-312147,title,en,,,"Arbetsbord 700, B1400 MA","Work table 700, W1400, SB"
Product,work-table-700-w1400-sb-312147,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1400 mm bredt, byggsats med skruvsystem, 100 mm snedkant. Förberett för eftermontering av Mellanhylla. 250 kg bärförmåga på skivan. För kök som planeras modulärt och där arbetsytorna utökas stegvis.","Stainless steel workbench, Series 700, 1400 mm wide, flat-pack with screw-together system, 100 mm Tilting. Prepared for retrofitting with an intermediate shelf. 250 kg load capacity on the worktop. For kitchens with a modular layout that expand work areas in stages."
Product,work-table-700-w1600-sb-312167,title,en,,,"Arbetsbord 700, B1600 MA","Work table 700, W1600, SB"
Product,work-table-700-w1600-sb-312167,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1600 mm bredt, byggsats med skruvsystem, 100 mm uppkant. Ljuddämpad underplatta, förberedd för mellanbotten. Upp till 226 kg bärförmåga. För breda kök som är modulärt uppbyggda och behöver maximalt stänkskydd på 1600 mm bredd.","Stainless steel worktop, Series 700, 1600 mm wide, kit with screw-fit system, 100 mm upstand. Sound-insulated base panel, prepared for intermediate shelf. Up to 226 kg load capacity. For wide kitchens with a modular layout requiring maximum splash protection across a 1600 mm width."
Product,work-table-700-w1800-sb-312187,title,en,,,"Arbetsbord 700, B1800 MA","Work table 700, W1800, SB"
Product,work-table-700-w1800-sb-312187,body_html,en,,,"Arbetsbord i rostfritt stål serie 700, 1800 mm bredt, byggsats med skruvsystem, 100 mm uppkant. Ljuddämpad underplatta, förberedd för mellanbotten. Upp till 213 kg bärförmåga. För breda köksutrymmen som byggs modulärt och behöver högt stänkskydd.","Stainless steel worktop, Series 700, 1800 mm wide, kit with screw-fixing system, 100 mm upstand. Sound-insulated base plate, prepared for intermediate shelf. Up to 213 kg load capacity. For wide kitchen areas requiring a modular layout and high splash protection."
Product,wall-cupboard-open-400-w1000-313105,title,en,,,"Hängskåp öppet 400, B1000","Wall cupboard open 400, W1000"
Product,wall-cupboard-open-400-w1000-313105,body_html,en,,,"Öppet hängskåp 1000 mm brett, 330 mm djupt, tvådelat – Scotch-Brite-slipning, färdigmonterat, utan dörrar. För professionella kök som vill förvara köksredskap och tillbehör på medelhöjd ovanför arbetsytan så att de är lättillgängliga och synliga.","Open wall cabinet, 1000 mm wide, 330 mm deep, two-part – Scotch-Brite finish, fully assembled, without doors. For professional kitchens that want to store kitchen utensils and accessories at mid-height above the worktop, ensuring they are easily accessible and visible."
Product,wall-cupboard-open-400-w1200-313125,title,en,,,"Hängskåp öppet 400, B1200","Wall cupboard open 400, W1200"
Product,wall-cupboard-open-400-w1200-313125,body_html,en,,,"Öppet hängskåp 1200 mm brett, 330 mm djupt, tvådelat – Scotch-Brite-slipning, höjdjusterbar mellanhylla, färdigmonterat. För professionella kök som vill förvara köksredskap inom räckhåll och synligt ovanför arbetsytan utan att behöva öppna dörrar.","Open wall cabinet, 1200 mm wide, 330 mm deep, two-part – Scotch-Brite finish, height-adjustable Intermediate shelf, fully assembled. For professional kitchens wishing to store kitchen utensils within easy reach and in full view above the worktop, without having to open doors."
Product,wall-cupboard-open-400-w1400-313145,title,en,,,"Hängskåp öppet 400, B1400","Wall cupboard open 400, W1400"
Product,wall-cupboard-open-400-w1400-313145,body_html,en,,,"Öppet hängskåp 1400 mm brett, 330 mm djupt, odelat – Scotch-Brite-slipning, färdigmonterat, utan dörrar. För professionella kök som vill förvara köksredskap, kryddor och tillbehör över arbetsytan så att de är snabbt tillgängliga och synliga.","Open wall cabinet, 1400 mm wide, 330 mm deep, undivided – Scotch-Brite finish, fully assembled, without doors. For professional kitchens wishing to store kitchen utensils, spices and accessories above the worktop where they are quickly accessible and visible."
Product,wall-cupboard-open-400-w1600-313165,title,en,,,"Hängskåp öppet 400, B1600","Wall cupboard open 400, W1600"
Product,wall-cupboard-open-400-w1600-313165,body_html,en,,,"Öppet hängskåp 1600 mm brett, 330 mm djupt, tvådelat – Scotch-Brite-slipning, färdigmonterat, utan dörrar. För professionella kök som vill förvara köksredskap och tillbehör över en stor bredd ovanför arbetsytan så att de är snabbt tillgängliga och synliga.","Open wall cabinet, 1600 mm wide, 330 mm deep, two-part – Scotch-Brite finish, fully assembled, without doors. For professional kitchens wishing to store kitchen utensils and accessories across a wide area above the worktop, ensuring they are quickly accessible and visible."
Product,wall-cupboard-open-400-w1800-313185,title,en,,,"Hängskåp öppet 400, B1800","Wall cupboard open 400, W1800"
Product,wall-cupboard-open-400-w1800-313185,body_html,en,,,"Öppet hängskåp 1800 mm brett, 330 mm djupt, tvådelat – Scotch-Brite-slipning, färdigmonterat, utan dörrar. För professionella kök som vill organisera köksredskap och tillbehör på maximal bredd ovanför arbetsytan så att de är snabbt tillgängliga och synliga.","Open wall cabinet, 1800 mm wide, 330 mm deep, divided into two sections – Scotch-Brite finish, fully assembled, without doors. For professional kitchens wishing to organise kitchen utensils and accessories across the full width above the worktop, ensuring they are easily accessible and visible."
Product,wall-cupboard-open-400-w2000-313205,title,en,,,"Hängskåp öppet 400, B2000","Wall cupboard open 400, W2000"
Product,wall-cupboard-st-400-w1200-314125,title,en,,,"Hängskåp ST 400, B1200","Wall cupboard ST 400, W1200"
Product,wall-cupboard-st-400-w1200-314125,body_html,en,,,"Hängskåp serie 400, 1200 mm bred, med ljuddämpade skjutdörrar, höjdjusterbar mellanbotten och Scotch-Brite-slipning. Material: rostfritt stål. För kök som vill förvara porslin och tillbehör på medelhöjd ovanför arbetsytan, skyddat från damm och lättillgängligt.","Wall cabinet Series 400, 1200 mm wide, with sound-dampened sliding doors, height-adjustable shelf and Scotch-Brite finish. Material: stainless steel. For kitchens that store crockery and accessories at a medium height above the worktop, protected from dust and within easy reach."
Product,wall-cupboard-sld-400-w1400-314145,title,en,,,"Hängskåp ST 400, B1400","Wall cupboard SlD 400, W1400"
Product,wall-cupboard-sld-400-w1400-314145,body_html,en,,,"Hängskåp serie 400, 1 400 mm bred, med ljuddämpade skjutdörrar, höjdjusterbar mellanhylla och Scotch-Brite-slipning. Djup 330 mm, höjd 580 mm. Färdigmonterad. För kök som vill förvara porslin och tillbehör över arbetsytan, lättillgängligt och dammskyddat.","Series 400 wall cabinet, 1,400 mm wide, with sound-insulated sliding doors, height-adjustable intermediate shelf and Scotch-Brite finish. Depth 330 mm, height 580 mm. Fully assembled. For kitchens wishing to store crockery and accessories within easy reach and protected from dust above the worktop."
Product,wall-cupboard-st-400-w1600-314165,title,en,,,"Hängskåp ST 400, B1600","Wall cupboard ST 400, W1600"
Product,wall-cupboard-st-400-w1600-314165,body_html,en,,,"Hängskåp serie 400, 1600 mm bred, med ljuddämpade skjutdörrar, höjdjusterbar mellanbotten. Material rostfritt stål, Scotch-Brite-slipning. För kök som vill förvara porslin och tillbehör på en bred yta ovanför arbetsytan, skyddat mot damm och lättillgängligt.","Wall cabinet Series 400, 1600 mm wide, with sound-dampened sliding doors, height-adjustable shelf. Material: stainless steel, Scotch-Brite finish. For kitchens that wish to store crockery and accessories on a wide shelf above the worktop, protected from dust and within easy reach."
Product,wall-cupboard-st-400-w1800-314185,title,en,,,"Hängskåp ST 400, B1800","Wall cupboard ST 400, W1800"
Product,wall-cupboard-st-400-w1800-314185,body_html,en,,,"Hängskåp serie 400, 1800 mm bred, med ljuddämpade skjutdörrar, höjdjusterbar mellanbotten och Scotch-Brite-slipning. Material rostfritt stål. Brett format för kök som vill förvara porslin och tillbehör dammskyddat och lättillgängligt på maximal väggbredd.","Wall cabinet, 400 series, 1800 mm wide, with sound-dampened sliding doors, height-adjustable shelf and Scotch-Brite finish. Material: stainless steel. Wide format for kitchens that need to store crockery and accessories dust-protected and within easy reach across the full width of the wall."
Product,top-shelf-w800-1-shelf-315080,title,en,,,"Uppsatshylla, B800, 1 hylla","Top shelf, W800, 1 shelf"
Product,top-shelf-w800-1-shelf-315080,body_html,en,,,"Enkelt påbyggnadsbord 800 mm, en nivå med kantad kant på alla sidor, upp till 90 kg, rostfritt stål, färdigmonterat. Skapar förvaringsutrymme över smala arbetsbord utan väggmontering. För kök som behöver enkelt extra förvaringsutrymme över arbetsytan på begränsad bredd.","Simple top shelf 800 mm, single level with chamfered edges on all sides, up to 90 kg, stainless steel, fully assembled. Creates storage space above narrow workbenches without wall mounting. For kitchens requiring simple additional storage space above the worktop where width is limited."
Product,top-shelf-w1000-1-shelf-315100,title,en,,,"Uppsatshylla, B1000, 1 hylla","Top shelf, W1000, 1 shelf"
Product,top-shelf-w1000-1-shelf-315100,body_html,en,,,"Enkel påbyggnadshylla 1000 mm, en nivå med kantad kant på alla sidor, upp till 86 kg, rostfritt stål. Skapar förvaringsutrymme över 1000 mm-arbetsbord utan väggmontering. För kök som behöver enkelt, stabilt extra förvaringsutrymme över arbetsytan på en kompakt bredd.","Simple top shelf 1000 mm, single level with chamfered edges on all sides, up to 86 kg, stainless steel. Creates storage space above 1000 mm workbenches without wall mounting. For kitchens requiring simple, sturdy additional storage space above the worktop in a compact width."
Product,drawer-1x1-1gn-315105,title,en,,,Låda 1x1/1GN,Drawer 1x1/1GN
Product,drawer-1x1-1gn-315105,body_html,en,,,"Enskild GN-låda 1/1 GN, innermått 526 x 304 x 142 mm, rostfritt stål, för montering på plats. Kompletterar eller ersätter en låda i befintlig lådblock. För kök som vill eftermontera enskilda lådor eller byta ut skadade enheter.","Single GN drawer 1/1 GN, internal dimensions 526 x 304 x 142 mm, stainless steel, for on-site installation. Complements or replaces a drawer in an existing drawer unit. For kitchens looking to retrofit individual drawers or replace damaged units."
Product,drawer-1-x-1-1-gn-for-work-tables-se-315107,title,en,,,Låda 1 x 1/1 GN,Drawer 1 x 1/1 GN for work tables se
Product,top-shelf-w1200-1-shelf-315120,title,en,,,"Uppsatshylla, B1200, 1 hylla","Top shelf, W1200, 1 shelf"
Product,top-shelf-w1200-1-shelf-315120,body_html,en,,,"Enkel påbyggnadshylla 1200 mm, en nivå med kantad yta på alla sidor, upp till 81 kg, rostfritt stål, färdigmonterad. Skapar förvaringsutrymme ovanför 1200 mm arbetsbord utan väggmontering. För kök som planerar modulärt och stegvis bygger upp förvaringsutrymme ovanför arbetsytan.","Simple 1200 mm top shelf, single level with chamfered edges on all sides, up to 81 kg, stainless steel, fully assembled. Creates storage space above 1200 mm workbenches without wall mounting. For kitchens planning a modular layout and gradually building up storage space above the work surface."
Product,top-shelf-w1400-1-shelf-315140,title,en,,,"Uppsatshylla, B1400, 1 hylla","Top shelf, W1400, 1 shelf"
Product,top-shelf-w1400-1-shelf-315140,body_html,en,,,"Enkel påbyggnadshylla 1400 mm, en nivå med kantad yta på alla sidor, upp till 77 kg, rostfritt stål. Skapar förvaringsutrymme över 1400 mm arbetsbord utan väggmontering. För kök som planerar modulärt och bygger upp förvaringsutrymme över arbetsytan stegvis och flexibelt.","Simple top shelf 1400 mm, single level with chamfered edges on all sides, up to 77 kg, stainless steel. Provides storage space above 1400 mm workbenches without wall mounting. For kitchens that plan modularly and build storage space above the worktop in stages and flexibly."
Product,top-shelf-w1600-1-shelf-315160,title,en,,,"Uppsatshylla, B1600, 1 hylla","Top shelf, W1600, 1 shelf"
Product,top-shelf-w1600-1-shelf-315160,body_html,en,,,"Enkelt påbyggnadsbord 1600 mm, en nivå med kantad kant på alla sidor, upp till 72 kg, rostfritt stål. Skapar förvaringsutrymme över breda arbetsbord utan väggmontering. För kök som planerar modulärt och stegvis bygger upp förvaringsutrymme över 1600 mm arbetsytor.","Simple top shelf 1600 mm, single level with chamfered edges on all sides, up to 72 kg, stainless steel. Creates storage space above wide workbenches without wall mounting. For kitchens that plan modularly and gradually build up storage space above 1600 mm work surfaces."
Product,top-shelf-w1800-1-shelf-315180,title,en,,,"Uppsatshylla, B1800, 1 hylla","Top shelf, W1800, 1 shelf"
Product,top-shelf-w1800-1-shelf-315180,body_html,en,,,"Enkel påbyggnadshylla 1800 mm, en nivå med kantad yta på alla sidor, upp till 68 kg, rostfritt stål. Skapar förvaringsutrymme över 1800 mm-arbetsbord utan väggmontering. För breda kökslinjer som enkelt kompletterar en avställningsyta ovanför huvudarbetsytan.","Simple top shelf 1800 mm, single level with chamfered edges on all sides, up to 68 kg, stainless steel. Creates storage space above 1800 mm workbenches without wall mounting. For wide kitchen units that simply add a storage level above the main work surface."
Product,top-shelf-w2000-1-shelf-315200,title,en,,,"Uppsatshylla, B2000, 1 hylla","Top shelf, W2000, 1 shelf"
Product,top-shelf-w2000-1-shelf-315200,body_html,en,,,"Enkel påbyggnadshylla 2000 mm, en nivå med kant på alla sidor, upp till 65 kg, rostfritt stål, färdigmonterad. Skapar förvaringsutrymme över breda arbetsytor utan väggmontering. För stora kökslinjer som behöver mer avställningsyta över hela bredden på sina arbetsbord.","Simple top shelf 2000 mm, single level with chamfered edges on all sides, up to 65 kg, stainless steel, fully assembled. Creates storage space above wide work surfaces without wall mounting. For large kitchen lines requiring more storage space across the full width of their workbenches."
Product,drawers-block-3x1-1gn-315306,title,en,,,Lådblock 3x1/1GN,Drawers block 3x1/1GN
Product,drawers-block-3x1-1gn-315306,body_html,en,,,"Tredelad GN-lådblock för 1/1 GN, innermått 526 x 304 x 143 mm, rostfritt stål, för montering på plats. Kompakt alternativ till 315307 med något anpassad innerhöjd. För kök som vill organisera GN-förvaringsutrymmet direkt i köksunderstället.","Three-part GN drawer unit for 1/1 GN, internal dimensions 526 x 304 x 143 mm, stainless steel, for on-site installation. Compact alternative to 315307 with slightly adjusted internal height. For kitchens wishing to organise GN storage space directly within the kitchen base units."
Product,drawers-block-3-x-1-1-gn-for-work-ta-315307,title,en,,,Lådblock 3 x 1/1 GN,Drawers block 3 x 1/1 GN for work ta
Product,drawers-block-3-x-1-1-gn-for-work-ta-315307,body_html,en,,,"Tredelad GN-lådblock för 1/1 GN, innermått 526 x 304 x 142 mm, rostfritt stål, för montering på plats. Tre lådor för strukturerat GN-förvaringsutrymme direkt i köksunderstället. För professionella kök som vill ha ordning och snabb åtkomst direkt under arbetsytan.","Three-piece GN drawer unit for 1/1 GN, internal dimensions 526 x 304 x 142 mm, stainless steel, for on-site installation. Three drawers for structured GN storage directly within the kitchen base unit. For professional kitchens requiring organisation and quick access directly beneath the worktop."
Product,rubbish-bin-cupboard-700m1-316347,title,en,,,Avfallshinkskåp 700A1,Rubbish bin cupboard 700M1
Product,rubbish-bin-cupboard-700a1-ma-317347,title,en,,,Avfallshinkskåp 700A1 MA,Rubbish bin cupboard 700A1 MA
Product,rubbish-bin-cupboard-700a1-ma-317347,body_html,en,,,Avfallshinkskåp från Bartschers möbelserie i rostfritt stål. Den urtagbara innerbehållaren underlättar tömning och rengöring.,Rubbish bin cupboard from the Bartscher stainless steel furniture series. The removable inner container facilitates emptying and cleaning.
Product,top-shelf-w800-2-shelves-325080,title,en,,,"Uppsatshylla, B800, 2 hyllor","Top shelf, W800, 2 shelves"
Product,top-shelf-w800-2-shelves-325080,body_html,en,,,"Tvådelat påbyggnadsbord 800 mm, båda nivåerna kantade på alla sidor – övre upp till 90 kg, undre upp till 80 kg, totalt 170 kg, rostfritt stål. Kompakt lösning för kök som vill skapa lättillgängligt extra förvaringsutrymme ovanför ett 800 mm arbetsbord.","Two-tiered top shelf 800 mm, both levels chamfered on all sides – top up to 90 kg, bottom up to 80 kg, total 170 kg, stainless steel. Compact solution for kitchens wishing to create easily accessible additional storage space above an 800 mm worktop."
Product,top-shelf-w1000-2-shelves-325100,title,en,,,"Uppsatshylla, B1000, 2 hyllor","Top shelf, W1000, 2 shelves"
Product,top-shelf-w1000-2-shelves-325100,body_html,en,,,"Tvådelad hyllplan 1000 mm, båda nivåerna kantade på alla sidor – övre upp till 86 kg, undre upp till 77 kg, totalt 163 kg. Färdigmonterad, rostfritt stål. Skapar extra förvaringsutrymme ovanför arbetsytan utan väggmontering. För modulära 700-serien kökslinjer.","Two-tiered top shelf 1000 mm, both levels chamfered on all sides – top up to 86 kg, bottom up to 77 kg, total 163 kg. Fully assembled, stainless steel. Provides additional storage space above the worktop without wall mounting. For modular 700 series kitchen lines."
Product,top-shelf-w1200-2-shelves-325120,title,en,,,"Uppsatshylla, B1200, 2 hyllor","Top shelf, W1200, 2 shelves"
Product,top-shelf-w1200-2-shelves-325120,body_html,en,,,"Tvådelat påbyggnadsbord 1200 mm, båda nivåerna kantade på alla sidor – övre upp till 81 kg, undre upp till 73 kg, totalt 154 kg. Färdigmonterat, rostfritt stål. För kök som behöver tvåvånings extra förvaringsutrymme över 1200 mm arbetsbord utan väggmontering.","Two-tiered top shelf 1200 mm, both levels chamfered on all sides – top up to 81 kg, bottom up to 73 kg, total 154 kg. Fully assembled, stainless steel. For kitchens requiring double-tiered additional storage space above 1200 mm workbenches without wall mounting."
Product,top-shelf-w1400-2-shelves-325140,title,en,,,"Uppsatshylla, B1400, 2 hyllor","Top shelf, W1400, 2 shelves"
Product,top-shelf-w1400-2-shelves-325140,body_html,en,,,"Tvådelat påbyggnadsbord 1400 mm, båda nivåerna kantade på alla sidor – övre upp till 77 kg, undre upp till 70 kg, totalt 147 kg. Färdigmonterat, rostfritt stål. För kök som vill skapa strukturerat extra förvaringsutrymme över 1400 mm-arbetsbord utan väggmontering.","Two-part countertop 1400 mm, both levels chamfered on all sides – top up to 77 kg, bottom up to 70 kg, total 147 kg. Fully assembled, stainless steel. For kitchens wishing to create structured additional storage space above 1400 mm workbenches without wall mounting."
Product,top-shelf-w1600-2-shelves-325160,title,en,,,"Uppsatshylla, B1600, 2 hyllor","Top shelf, W1600, 2 shelves"
Product,top-shelf-w1600-2-shelves-325160,body_html,en,,,"Tvådelad hyllanläggning 1600 mm, båda nivåerna kantade på alla sidor – övre nivå upp till 72 kg, undre upp till 67 kg. Färdigmonterad, rostfritt stål. Skapar förvaringsutrymme ovanför arbetsytan utan väggmontering. För kök som vill utöka sitt arbetssystem modulärt.","Two-tiered shelf unit 1600 mm, both levels chamfered on all sides – upper level up to 72 kg, lower level up to 67 kg. Fully assembled, stainless steel. Creates storage space above the worktop without wall mounting. For kitchens looking to expand their work system modularly."
Product,top-shelf-w1800-2-shelves-325180,title,en,,,"Uppsatshylla, B1800, 2 hyllor","Top shelf, W1800, 2 shelves"
Product,top-shelf-w1800-2-shelves-325180,body_html,en,,,"Tvådelat påbyggnadsbord 1800 mm, båda nivåerna kantade på alla sidor – övre upp till 68 kg, undre upp till 63 kg, totalt 131 kg, rostfritt stål. Skapar förvaringsutrymme över breda arbetsytor utan väggmontering. För stora kökslinjer som kan byggas ut modulärt.","Two-part top shelf 1800 mm, both levels chamfered on all sides – top up to 68 kg, bottom up to 63 kg, total 131 kg, stainless steel. Provides storage space above wide work surfaces without wall mounting. For large kitchen lines that can be expanded modularly."
Product,top-shelf-w2000-2-shelves-325200,title,en,,,"Uppsatshylla, B2000, 2 hyllor","Top shelf, W2000, 2 shelves"
Product,top-shelf-w2000-2-shelves-325200,body_html,en,,,"Tvådelad påbyggnadshylla 2000 mm, båda nivåerna kantade på alla sidor – övre upp till 65 kg, undre upp till 60 kg, totalt 125 kg, rostfritt stål. För stora kökslinjer som vill skapa extra förvaringsutrymme i två nivåer över breda arbetsbord.","Two-part top shelf 2000 mm, both levels chamfered on all sides – top up to 65 kg, bottom up to 60 kg, total 125 kg, stainless steel. For large kitchen lines wishing to create double-tiered additional storage space above wide workbenches."
Product,cupboard-700-w1000-337107,title,en,,,"Arbetsskåp 700, B1000","Cupboard 700, W1000"
Product,cupboard-700-w1000-337107,body_html,en,,,"Arbetsskåp serie 700, 1000 mm arbetsyta, skjutdörrar, höjdjusterbara hyllplan upp till 130 kg. Rostfritt stål inuti och utanpå, Scotch-Brite-slipning, färdigmonerat. Kompakt kombinationsenhet för kök som kombinerar 1000 mm bred arbetsyta med förvaringsutrymme.","Series 700 work cabinet, 1000 mm worktop, sliding doors, height-adjustable shelves up to 130 kg. Stainless steel inside and out, Scotch-Brite finish, fully assembled. Compact combination unit for kitchens that combine a 1000 mm wide worktop with storage space."
Product,cupboard-700-w1200-337127,title,en,,,"Arbetsskåp 700, B1200","Cupboard 700, W1200"
Product,cupboard-700-w1200-337127,body_html,en,,,"Arbetsskåp serie 700, 1200 mm arbetsyta, skjutdörrar, höjdjusterbara hyllplan upp till 115 kg. Rostfritt stål inuti och utanpå, Scotch-Brite-slipning, färdigmonterad. Kompakt kombinerad enhet bestående av arbetsyta och förvaringsutrymme för strukturerade professionella kök.","Series 700 work cabinet, 1200 mm worktop, sliding doors, height-adjustable shelves up to 115 kg. Stainless steel interior and exterior, Scotch-Brite finish, fully assembled. Compact combination unit comprising worktop and storage space for well-organised professional kitchens."
Product,cupboard-700-w-1400-337147,title,en,,,"Arbetsskåp 700, B1400","Cupboard 700, W 1400"
Product,cupboard-700-w-1400-337147,body_html,en,,,"Arbetsskåp serie 700, 1400 mm arbetsyta, skjutdörrar, höjdjusterbara hyllplan upp till 140 kg. Rostfritt stål, Scotch-Brite-slipning, färdigmonerat. Mellanstort kombinationsskåp för kök som på ett tillförlitligt sätt kombinerar arbetsyta och förvaringsutrymme på 1400 mm bredd.","Series 700 work cabinet, 1400 mm worktop, sliding doors, height-adjustable shelves up to 140 kg. Stainless steel, Scotch-Brite finish, fully assembled. Mid-range combination unit for kitchens that reliably combine worktop and storage space across a 1400 mm width."
Product,cupboard-700-w1600-337167,title,en,,,"Arbetsskåp 700, B1600","Cupboard 700, W1600"
Product,cupboard-700-w1600-337167,body_html,en,,,"Arbetsskåp serie 700, 1600 mm arbetsyta, skjutdörrar, justerbara mellanhyllor till 160 kg. Rostfritt stål inuti och utanpå, Scotch-Brite-slipning, färdigmonterat. Funktionell kombination av arbetsyta och stort förvaringsutrymme för varje proffskök.","Series 700 work cabinet, 1600 mm worktop, sliding doors, height-adjustable intermediate shelves up to 160 kg. Stainless steel inside and out, Scotch-Brite finish, fully assembled. A functional combination of worktop and ample storage space for any professional kitchen."
Product,cupboard-700-w1800-337187,title,en,,,"Arbetsskåp 700, B1800","Cupboard 700, W1800"
